MW016389.1	k__Eukaryota;p__Ascomycota;c__sordariomyceta;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__[Bisifusarium]_aseptatum
KY101825.1	k__Eukaryota;p__Ascomycota;c__Cyberlindnera/Candida clade;o__Saccharomycetales;f__Phaffomycetaceae;g__Cyberlindnera;s__[Candida]_adriatica
FJ172251.1	k__Eukaryota;p__Ascomycota;c__CUG-Ser1 clade;o__Saccharomycetales;f__Debaryomycetaceae;g__Yamadazyma;s__[Candida]_amphicis
MK394134.1	k__Eukaryota;p__Ascomycota;c__Candida/Saccharomycales clade;o__Saccharomycetales;f__unidentified;g__unidentified;s__[Candida]_anutae
KY101945.1	k__Eukaryota;p__Ascomycota;c__CUG-Ser1 clade;o__Saccharomycetales;f__Metschnikowiaceae;g__Candida/Metschnikowiaceae;s__[Candida]_asparagi
KY101951.1	k__Eukaryota;p__Ascomycota;c__CUG-Ser1 clade;o__Saccharomycetales;f__Debaryomycetaceae;g__Yamadazyma;s__[Candida]_atlantica
HQ652048.1	k__Eukaryota;p__Ascomycota;c__CUG-Ser1 clade;o__Saccharomycetales;f__Debaryomycetaceae;g__Scheffersomyces;s__[Candida]_broadrunensis
KY102008.1	k__Eukaryota;p__Ascomycota;c__CUG-Ser1 clade;o__Saccharomycetales;f__Debaryomycetaceae;g__Yamadazyma;s__[Candida]_buinensis
KY102011.1	k__Eukaryota;p__Ascomycota;c__Pichia/Candida clade;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__[Candida]_californica
KY102040.1	k__Eukaryota;p__Ascomycota;c__Wickerhamomyces/Candida clade;o__Saccharomycetales;f__Phaffomycetaceae;g__Wickerhamomyces;s__[Candida]_dajiaensis
KY102045.1	k__Eukaryota;p__Ascomycota;c__Starmera/Candida clade;o__Saccharomycetales;f__Phaffomycetaceae;g__Starmera;s__[Candida]_dendrica
KY102052.1	k__Eukaryota;p__Ascomycota;c__Candida/Saccharomycales clade;o__Saccharomycetales;f__unidentified;g__unidentified;s__[Candida]_digboiensis
JQ713957.1	k__Eukaryota;p__Ascomycota;c__Candida/Saccharomycales clade;o__Saccharomycetales;f__unidentified;g__unidentified;s__[Candida]_ficus
HQ652068.1	k__Eukaryota;p__Ascomycota;c__Candida glaebosa clade;o__Saccharomycetales;f__Debaryomycetaceae;g__unidentified;s__[Candida]_fluviatilis
