"Sample_ID","Name","SampleType","Description"
"barcode02S","mock2","mock","Spaghetti"
"barcode04S","mock4","mock","Spaghetti"
"barcode01S","mock","mock","Spaghetti"
"barcode03S","mock3","mock","Spaghetti"
"barcode05S","mock5","mock","Spaghetti"
