otu	Kingdom	Phylum	Class	Order	Family	Genus	Species
7a56364d288aa1a6738f291b69f5582b64b96928	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7a64aad8a3ad20ea0ca08271524118728345d30e	Eukaryota	Basidiomycota	Opisthokonta	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia_rubi
7ae4e49d460d12d16ac99586e093c74dba6a3d43	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7ae6432b5cd5708b62fd016875f2a7549a28f424	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7be7a785a7f3853934f2b7feb938100958e62ad1	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7c05a63333a7a127a93818b8c84f3c50e539fc26	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7c0cc843aa6adb9d612e23d0578a6791740c8323	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7c6c0739d4332dd25103a9b972d15f4e4d399512	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7cbf4e2fa073544b6336138bf363378b7ff421eb	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7d0b0ffa36a9013cbefc51bc7f2cff68a492ec23	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7d44f174fde3055a856ee2340edffeccdaa14ea5	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7d5d2649580fe69a1214bc0a149ab277a0615bfb	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7daad2e394a3b332f9f52acfe0f59f5216a1ca5e	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7dad262b03177d34adbd3bb04db40019517be8f9	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7de5d463d4d4a112b9673d05d7df4d01611a6055	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7e0971ca4c83cd0957fbd11004d867a96e1c3f40	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7e271202dcb5fdbbc94c28d285b636f0897a6050	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7e32e9e1f8d3cfc855bc5c6a171598d68b855be0	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7e7c48cd1ad9c305798b8646274c81fb3367908d	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7ea89b985c79c39c2a433ae278b91897d6bc696a	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
7f3eaee164d89e9cc8d2f9c79cbe76c6f6d32b29	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7f51afee380083ce321ffbe9e8c01cf991ecdd0c	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7fa7d7b0994ec9bd1a229b7054754a75f35565fa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7fb63a7ac64f128861f4556ff7f5a3fcc4791a4d	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7fbc56e48265b967ea8cd0a7da2c434f3b1b2a56	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7ff8ccda7a0a71c56b653c80d585afe321ef1dd7	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
800fe6ade08373a175b127a0a433e96d8d306203	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
80cebe055fd763082dee0b323e7eba85812759fb	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
812c8624b7e06854bbf166c6fbcf94be4e630dc9	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8178274efbb043cf9b875750c1e6ff9133bfc51d	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
