OTU,Domain,Phylum,Class,Order,Family,Genus,Species
MG787579.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Fomitopsidaceae,g__Antrodia,s__Antrodia_bambusicola
GQ981489.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Boletaceae,g__Afroboletus,s__Afroboletus_luteolus
MH554083.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Sporocadaceae,g__Allelochaeta,s__Allelochaeta_sparsifoliae
MH822986.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Sporocadaceae,g__Allelochaeta,s__Allelochaeta_kriegeriana
AY546067.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__unidentified,g__unidentified,s__fungal_endophyte_EMS68
HM067840.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Sporocadaceae,g__Seimatosporium,s__Seimatosporium_botan
MK564607.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Laetiporaceae,g__Wolfiporiella,s__Wolfiporiella_dilatohypha
MN512328.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_vestalis
JN979429.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Hypoxylaceae,g__Hypoxylon,s__Hypoxylon_jecorinum
U72262.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Godroniaceae,g__Gremmeniella,s__Gremmeniella_laricina
KP174844.1,k__Eukaryota,p__Ascomycota,c__leotiomyceta,o__Chaetothyriales,f__Trichomeriaceae,g__Anthracina,s__Anthracina_ramosa
MW810290.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Phacidiales,f__Phacidiaceae,g__Xenosphaeropsis,s__Xenosphaeropsis_pyriputrescens
MW759250.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Lophiostomataceae,g__Lophiostoma,s__Lophiostoma_plantaginis
KX858800.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Erysiphales,f__Erysiphaceae,g__Podosphaera,s__Podosphaera_cerasi
KP174843.1,k__Eukaryota,p__Ascomycota,c__leotiomyceta,o__Chaetothyriales,f__Trichomeriaceae,g__Anthracina,s__Anthracina_saxicola
AY854964.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Entylomatales,f__Entylomataceae,g__Entyloma,s__Entyloma_arnicale
MW115427.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Gomphales,f__Gomphaceae,g__Ramaria,s__Ramaria_formosa
KU363980.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Botryosphaeriales,f__Phyllostictaceae,g__Phyllosticta,s__Phyllosticta_horai_(nom._inval.)
MT192530.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Erysiphales,f__Erysiphaceae,g__Erysiphe,s__Erysiphe_salicicola
MK050294.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Bulleribasidiaceae,g__Dioszegia,s__Dioszegia_ovata
AY100642.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Rhytismatales,f__Rhytismataceae,g__Lophodermium,s__Lophodermium_indianum
KY425674.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Hymenochaetaceae,g__Hymenochaete,s__Hymenochaete_bambusicola
MW742558.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Hymenochaetaceae,g__Hymenochaete,s__Hymenochaete_rheicolor
OL587809.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Dacrymycetales,f__Dacrymycetaceae,g__Dacrymyces,s__Dacrymyces_chrysospermus
HM562042.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pluteaceae,g__Pluteus,s__Pluteus_brunneidiscus
FJ348705.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Russulales,f__Russulaceae,g__Lactarius,s__Lactarius_badiopallescens
AJ585455.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Strophariaceae,g__Galerina,s__Galerina_sphagnorum
KY039954.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Boletaceae,g__Aureoboletus,s__Aureoboletus_quercus-spinosae
KX858597.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Nidulariaceae,g__Cyathus,s__Cyathus_ibericus
KY103128.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Cystobasidiales,f__Cystobasidiaceae,g__Cystobasidium,s__Cystobasidium_calyptogenae
KP161273.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Lachnaceae,g__Asperopilum,s__Asperopilum_juncicola
MW377264.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Adustoporiaceae,g__Austroporia,s__Austroporia_stratosa
KT222431.1,k__Eukaryota,p__Ascomycota,c__saccharomyceta,o__Orbiliales,f__Orbiliaceae,g__Orbilia,s__Orbilia_epipora
KC455238.1,k__Eukaryota,p__Ascomycota,c__leotiomyceta,o__Chaetothyriales,f__Cyphellophoraceae,g__Cyphellophora,s__Cyphellophora_eucalypti
KU847240.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Stachybotryaceae,g__Striaticonidium,s__Striaticonidium_humicola
JN943145.1,k__Eukaryota,p__Ascomycota,c__saccharomyceta,o__Saccharomycetales,f__Lipomycetaceae,g__Lipomyces,s__Lipomyces_oligophaga
KT380097.1,k__Eukaryota,p__Ascomycota,c__saccharomyceta,o__Orbiliales,f__Orbiliaceae,g__Orbilia,s__Orbilia_dryadum
MK480531.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_grammatoides
EU518419.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Hymenogastraceae,g__Gymnopilus,s__Gymnopilus_maritimus
MN176990.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__unidentified,g__Tricholomopsis,s__Tricholomopsis_rutilans
JF908264.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_grammata
KM107901.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Postiaceae,g__Spongiporus,s__Spongiporus_gloeoporus
KX851631.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Picipes,s__Picipes_pumilus
