Sample_ID	ID_S	Name	run_name	flowcell	barcode	Site_A	Site	Field	date	Year	Month	Week	DOY	SampleType	S_vesicarium	P_desttructor	B_squamosa	comments
Y_12	Y_12	delf_2022_12	DELF_2022_R1	FAS11344	12	DELF	B	100	2022-07-05	2022	7	28	185	Field	0	0	0	
Y_13	Y_13	delf_2022_13	DELF_2022_R1	FAS11344	13	DELF	B	100	2022-07-07	2022	7	28	187	Field	0	6	0	
Y_14	Y_14	delf_2022_14	DELF_2022_R1	FAS11344	14	DELF	B	100	2022-07-10	2022	7	29	190	Field	0	22	0	
X_01	X_1	delf_2022_15	DELF_2022_R2	FAS11193	1	DELF	B	100	2022-07-12	2022	7	29	192	Field	5	0	1	
X_02	X_2	delf_2022_16	DELF_2022_R2	FAS11193	2	DELF	B	100	2022-07-14	2022	7	29	194	Field	38	4	15	
X_03	X_3	delf_2022_17	DELF_2022_R2	FAS11193	3	DELF	B	100	2022-07-17	2022	7	30	197	Field	30	19	6	
X_04	X_4	delf_2022_18	DELF_2022_R2	FAS11193	4	DELF	B	100	2022-07-19	2022	7	30	199	Field	692	0	14	
X_05	X_5	delf_2022_19	DELF_2022_R2	FAS11193	5	DELF	B	100	2022-07-21	2022	7	30	201	Field	0	20	8	
X_06	X_6	delf_2022_20	DELF_2022_R2	FAS11193	6	DELF	B	100	2022-07-24	2022	7	31	204	Field	8	0	2	
X_07	X_7	delf_2022_21	DELF_2022_R2	FAS11193	7	DELF	B	100	2022-07-26	2022	7	31	206	Field	21	0	0	
X_08	X_8	delf_2022_22	DELF_2022_R2	FAS11193	8	DELF	B	100	2022-07-28	2022	7	31	208	Field	216	21	49	
X_09	X_9	delf_2022_23	DELF_2022_R2	FAS11193	9	DELF	B	100	2022-07-31	2022	7	32	211	Field	840	2958	37	
X_10	X_10	delf_2022_24	DELF_2022_R2	FAS11193	10	DELF	B	100	2022-08-02	2022	8	32	213	Field	234	0	7	
X_11	X_11	delf_2022_25	DELF_2022_R2	FAS11193	11	DELF	B	100	2022-08-07	2022	8	33	218	Field	99	0	32	
X_12	X_12	delf_2022_26	DELF_2022_R2	FAS11193	12	DELF	B	100	2022-08-11	2022	8	33	222	Field	4736	9	94	
X_13	X_13	delf_2022_27	DELF_2022_R2	FAS11193	13	DELF	B	100	2022-08-14	2022	8	34	225	Field	5896	33	24	
X_14	X_14	delf_2022_28	DELF_2022_R2	FAS11193	14	DELF	B	100	2022-08-18	2022	8	34	229	Field	2252	1	39	
U_01	U_1	guej_2022_1	GUEJ_2022_R1	FAS13225	1	GUEJ	C	L1	2022-06-02	2022	6	23	152	Field	0	0	0	
U_02	U_2	guej_2022_2	GUEJ_2022_R1	FAS13225	2	GUEJ	C	L1	2022-06-05	2022	6	24	155	Field	0	0	0	
U_03	U_3	guej_2022_3	GUEJ_2022_R1	FAS13225	3	GUEJ	C	L1	2022-06-09	2022	6	24	159	Field	0	0	1	
U_04	U_4	guej_2022_4	GUEJ_2022_R1	FAS13225	4	GUEJ	C	L1	2022-06-12	2022	6	25	162	Field	0	0	0	
U_05	U_5	guej_2022_5	GUEJ_2022_R1	FAS13225	5	GUEJ	C	L1	2022-06-14	2022	6	25	164	Field	0	0	0	
U_06	U_6	guej_2022_6	GUEJ_2022_R1	FAS13225	6	GUEJ	C	L1	2022-06-16	2022	6	25	166	Field	0	0	0	
U_07	U_7	guej_2022_7	GUEJ_2022_R1	FAS13225	7	GUEJ	C	L1	2022-06-19	2022	6	26	169	Field	1	0	2	
U_08	U_8	guej_2022_8	GUEJ_2022_R1	FAS13225	8	GUEJ	C	L1	2022-06-21	2022	6	26	171	Field	0	0	0	
U_09	U_9	guej_2022_9	GUEJ_2022_R1	FAS13225	9	GUEJ	C	L1	2022-06-23	2022	6	26	173	Field	0	0	0	
U_10	U_10	guej_2022_10	GUEJ_2022_R1	FAS13225	10	GUEJ	C	L1	2022-06-26	2022	6	27	176	Field	0	0	5	
U_11	U_11	guej_2022_11	GUEJ_2022_R1	FAS13225	11	GUEJ	C	L1	2022-06-28	2022	6	27	178	Field	0	0	0	
U_12	U_12	guej_2022_12	GUEJ_2022_R1	FAS13225	12	GUEJ	C	L1	2022-06-30	2022	6	27	180	Field	0	0	0	
U_13	U_13	guej_2022_13	GUEJ_2022_R1	FAS13225	13	GUEJ	C	L1	2022-07-03	2022	7	28	183	Field	0	0	0	
U_14	U_14	guej_2022_14	GUEJ_2022_R1	FAS13225	14	GUEJ	C	L1	2022-07-05	2022	7	28	185	Field	0	0	0	
U_15	U_15	guej_2022_15	GUEJ_2022_R1	FAS13225	15	GUEJ	C	L1	2022-07-07	2022	7	28	187	Field	0	10	0	
U_16	U_16	guej_2022_16	GUEJ_2022_R1	FAS13225	16	GUEJ	C	L1	2022-07-10	2022	7	29	190	Field	0	16	0	
T_01	T_1	guej_2022_17	GUEJ_2022_R2	FAS7593	1	GUEJ	C	L1	2022-07-14	2022	7	29	194	Field	0	7	2	
T_02	T_2	guej_2022_18	GUEJ_2022_R2	FAS7593	2	GUEJ	C	L1	2022-07-17	2022	7	30	197	Field	3	33	0	
T_03	T_3	guej_2022_19	GUEJ_2022_R2	FAS7593	3	GUEJ	C	L1	2022-07-19	2022	7	30	199	Field	28	0	24	
